Word	P_Male	P_Female
howitzer	0.84	0.53
thermistor	0.48	0.17
azimuth	0.58	0.27
femtosecond	0.47	0.15
milliamp	0.69	0.37
aileron	0.55	0.22
servo	0.61	0.28
degauss	0.59	0.26
boson	0.76	0.44
checksum	0.58	0.25
piezoelectricity	0.51	0.18
gauss	0.64	0.31
katana	0.8	0.47
shemale	0.88	0.54
neodymium	0.56	0.21
yakuza	0.69	0.32
teraflop	0.58	0.22
strafe	0.83	0.46
parsec	0.83	0.44
bushido	0.6	0.21
peplum	0.13	0.64
tulle	0.27	0.77
chignon	0.24	0.72
bandeau	0.35	0.81
freesia	0.27	0.72
chenille	0.34	0.76
kohl	0.36	0.77
verbena	0.3	0.7
doula	0.21	0.59
ruche	0.18	0.55
espadrille	0.36	0.73
damask	0.43	0.8
jacquard	0.39	0.74
whipstitch	0.37	0.71
boucle	0.16	0.5
taffeta	0.53	0.87
sateen	0.38	0.72
chambray	0.43	0.77
pessary	0.19	0.53
voile	0.34	0.68
